crop_type,month,avg_temp_c,rainfall_mm,humidity_percent,soil_ph,nitrogen_kg_ha,disease_incidence,yield_t_ha
0,3,27.008800486636243,51.376449790105205,88.72263248203035,6.292625250996441,127.4485603119791,1.0,3.2506264315319684
1,3,18.00225366367215,51.91600816230633,52.66258911656892,6.092651603799601,63.443342736955,0.0,1.7081441451265804
0,3,17.512238733886047,104.76720227546444,75.93272029808382,5.78693891403604,96.77206159711508,0.0,2.934536897041958
0,1,16.568517605016005,59.18034062520529,52.964216902994686,5.802891043870715,110.58968151794829,0.0,3.3279645447812993
0,4,24.54645374315455,77.00643853267285,65.01875713866002,6.365542968683638,92.83518005688462,0.0,4.333728220245611
1,1,25.597135897303517,134.7151623346879,82.15258180773787,6.6913596483230595,52.71066523362331,0.0,2.6078183633072864
0,4,15.47379217238463,250.64641989495323,67.33888931022537,5.6612308103392035,128.3501502587909,0.0,3.10202154583184
0,1,29.043183693655347,193.01216084232522,89.88729415611802,7.379137178050332,51.05132245416535,1.0,3.0984788334524165
0,1,15.779569254772086,178.16693148910412,72.36237139786408,7.010267234890392,126.1889894377484,0.0,3.57276416161321
1,0,23.119445029516058,123.37220580203041,62.84648610543814,6.673247836567326,139.33044937881226,0.0,2.1735986157591376
0,1,25.635907791763746,282.93842985820413,58.804453036190125,7.156877341877982,93.28399210571723,0.0,4.800239381070364
0,2,28.064536856191282,149.25376030929792,64.02082137144647,5.660373513624227,103.55424730977983,0.0,3.731560028669927
0,0,25.71130398198642,71.77319169894287,64.90133095038203,6.4536777554662486,97.69833926176537,0.0,2.087898329310255
0,1,27.025921246046877,204.2666290294503,52.74854710895844,6.760186253723327,88.92086186234388,0.0,3.528526619672606
1,3,20.09175288814209,78.45959836915036,64.78296797707092,7.1573058122365785,138.74245353703603,0.0,2.3985595670770428
0,2,27.222376706197686,136.30578570042303,68.569540789569,7.066939120098535,139.39335106699906,0.0,2.5800177008361564
1,2,16.201722695770126,176.85298467945222,78.90951008955219,6.0541384994267995,83.58163646415346,1.0,1.639136788690268
1,2,28.422249840907917,268.55563117129395,76.26917938886432,7.381760339118409,111.5069754014698,0.0,1.6317744746335974
1,0,23.213885642306046,173.38664508502967,78.35062620916617,5.7486916828617405,142.69075621458643,0.0,3.2929536176168943
0,1,27.259466549437406,225.56469150791605,50.334547275074286,7.250267237242304,146.20584989413516,0.0,3.5261179526488
1,1,21.7847742677745,298.2042097497676,58.706695983221444,7.441880499209237,100.89590404220476,0.0,3.361876829074806
0,3,24.653665427947875,82.8722799744954,76.46737153599426,5.854307046445252,95.28248052843267,0.0,2.56980423098306
1,3,22.896039914041697,118.68288137987987,69.35957472718988,6.9441321284075705,77.86943159285258,0.0,2.2156996552798525
1,2,25.973842826329978,148.6440188994116,50.212539026733836,5.5805710375559965,145.887187319041,0.0,3.113094111383329
1,3,16.224449730458844,155.45704463470784,82.17978569727289,6.31084565027831,64.28143044728674,1.0,2.314840238424885
1,0,15.905281259858457,152.75526881638643,80.9123829316135,6.5325665983953485,107.98295760477251,1.0,1.0937632729174942
1,1,18.706548510152196,276.90275063913873,71.9367665197425,6.661290451819268,78.25502675186388,0.0,3.9500136579920424
1,2,17.393170201697824,228.50816111671412,52.65853303105089,7.371874496497119,77.90082903477966,1.0,2.128322762801658
1,3,28.076753498883026,201.97630352267595,80.66060198130339,6.84450137458839,90.49685873761885,0.0,2.795514330456302
1,0,18.288209810370667,127.34317946569553,73.34854350925455,6.462555902438474,149.87929358156543,0.0,2.92307553022862
0,0,29.63797883728697,255.9475960553237,81.27839908631836,7.119350072531779,55.496630683982204,1.0,3.4336801740508562
0,3,20.053436876566604,288.7651278712473,80.06987969583362,7.401065641908818,107.85418182035315,0.0,3.374614415756648
1,1,17.73176873533049,255.29957063755663,82.12008287831348,5.544132297364582,58.257215803527714,1.0,2.0696159769946294
1,3,26.845477607137187,50.391276297868224,70.72032265618499,7.465042544512078,65.4520829990519,0.0,2.664313944168744
1,2,24.880616632513142,209.10034254585176,55.6129807277406,5.6722642781273604,93.95629417728986,0.0,2.674510803621704
0,3,22.472935746797084,62.78384536052518,76.84629893518755,7.128773558537523,101.04601313464413,0.0,3.746434408444226
1,0,23.330453264064467,114.40180508343046,74.81895140207882,6.060669505102825,75.8792408364524,0.0,1.9106761236398202
0,3,25.78802667408396,64.88117508694292,79.69012748796348,5.764359315507743,81.64571308744162,0.0,4.490608653037286
0,1,18.426821119969482,200.94886323734693,56.795240242029415,6.37971127942767,58.696702025593304,0.0,3.0151035977756475
0,4,29.94500874085113,221.6474783731517,57.79900799601157,6.787913158895227,80.32197838442505,1.0,3.315635899623283
0,3,29.62189743220175,78.62190951647628,85.61638068877315,6.26190369004695,146.6558439380544,0.0,2.118252755361089
0,1,24.754885295204055,145.95972076124485,79.99911193808283,5.609130816565398,144.47073816724816,0.0,4.48283078404746
1,1,17.993136763937176,164.0591272388855,86.32913954801292,6.698922279317433,83.4878290136985,1.0,2.420984140393505
1,0,25.20342363646937,142.26325544022916,80.34861284655683,7.30480655222135,107.08539362787616,0.0,2.825130848030952
1,1,16.082976134687637,80.25625012129827,73.88621223961208,6.266430731894504,140.95953911109444,0.0,2.1166411171119446
1,1,15.459787533087091,154.73694754686886,76.16530948111495,5.932665555261654,50.61838226408967,1.0,1.9963188376357976
1,1,18.865243327668203,237.79451195210453,85.5651169576004,6.385154691865631,131.06835703375918,1.0,2.181783483232747
0,1,21.939344351089744,67.75191613331387,73.15227018047761,5.5967254220975615,144.83695527889188,0.0,3.69485782295742
1,2,28.024087581125706,70.04500352047586,75.2956529731355,7.14097516896055,59.1325734333557,0.0,2.5341638089580174
1,2,25.90753604649462,138.69282295899606,56.25906864014402,7.152681621900373,66.1447686032921,0.0,3.23350213357261
0,0,26.140597817999716,285.43142790473127,68.95684880464411,6.676000926859257,146.07463027713555,1.0,1.9835713645742874
1,3,21.382400016721128,217.14316168072853,78.65588447832396,6.206205777876779,103.75401436403463,0.0,2.3238260344349917
0,1,20.189024888204443,219.6674891681412,60.83770793265462,7.099566728891567,51.41966344717237,0.0,4.5708503896081645
1,3,20.56558144476904,140.47999770946626,58.0901672209814,6.609374049576735,75.76319987635291,0.0,3.7061029783689543
0,3,29.814743456040866,198.4151978021346,62.553072328976626,7.151864617100032,94.99436742688596,0.0,4.620083353524314
1,0,15.601637871187236,52.53279600693585,59.66002511971334,6.762917585166042,119.29089110247676,0.0,3.721498201092881
1,1,28.00547244183673,209.02401160238554,58.596505481455836,7.068810946425595,123.31603781367996,0.0,2.286469083535166
0,1,23.6801311285859,278.3217368940592,66.99403371472349,6.69712598643552,149.5421512925456,0.0,4.822070563169696
0,4,21.579231287843857,203.1433670862048,86.31354055534136,6.328282136431333,78.7511199383759,0.0,3.0566929252122357
0,3,25.878864906227047,268.42464836658627,70.28238586954873,7.415891719852275,103.82201018684752,1.0,2.23171440261448
0,3,22.300034121370544,230.99326386652345,57.51681523261292,6.582227649757689,103.3323547859605,0.0,3.2743825439942356
0,2,28.10134857122491,80.13960410092255,53.078866775234964,6.710179037081077,90.56452594472375,0.0,4.74624860440011
0,4,28.51052796016888,275.6133268214604,77.84624580551701,5.940975278829498,66.91618938424202,0.0,3.515346667232019
0,2,21.32581390310183,66.61096108894372,65.31195057745552,6.751301578854553,147.74565631838425,1.0,2.377082815679439
0,2,19.152416958525773,183.49186813694095,82.87323786341437,6.643215298965888,135.33171866665862,0.0,2.7868229654449546
1,2,23.885254928900434,85.53428094836443,76.3804307456308,5.8696767958940494,99.83330282942373,0.0,1.8922565603653003
1,0,28.685450184250364,52.926652682726015,81.84965802165473,5.619174194706288,110.32454226840298,1.0,2.2211294589538815
0,0,18.159932835084998,155.50856503190977,60.87784157673795,6.708718639429542,72.72610535596623,0.0,3.7724136005537474
1,2,24.344498753452243,123.76017691353906,77.69435689844232,7.027384538700641,104.37870703917469,0.0,3.853197322266995
1,4,24.47340330138781,171.50012344940075,60.56247938774875,6.546802741844017,119.49701331214759,0.0,2.787980565345534
1,3,25.996695336229216,194.2999716836377,87.56273917801167,5.953545250639292,101.51670283865889,0.0,2.9053618845689626
1,4,16.9735152769089,60.93476807723684,75.45497126133498,6.83304395338607,149.02851705849412,0.0,1.7868548958454797
